Date,price,shares,net shares,net cash
2015-05-26,79.13999938964844,0.0,0.0,-0.0
2015-05-27,79.38999938964844,0.0,0.0,-0.0
2015-05-28,79.33000183105469,0.0,0.0,-0.0
2015-05-29,78.38999938964844,0.0,0.0,-0.0
2015-06-01,78.8499984741211,0.0,0.0,-0.0
2015-06-02,78.54000091552734,0.0,0.0,-0.0
2015-06-03,78.55999755859375,0.0,0.0,-0.0
2015-06-04,78.1500015258789,0.0,0.0,-0.0
2015-06-05,77.43000030517578,0.0,0.0,-0.0
2015-06-08,77.70999908447266,0.0,0.0,-0.0
2015-06-09,78.9000015258789,0.0,0.0,-0.0
2015-06-10,79.54000091552734,0.0,0.0,-0.0
2015-06-11,79.41000366210938,0.0,0.0,-0.0
2015-06-12,78.87000274658203,0.0,0.0,-0.0
2015-06-15,78.12000274658203,0.0,0.0,-0.0
2015-06-16,79.0999984741211,0.0,0.0,-0.0
2015-06-17,80.08000183105469,0.0,0.0,-0.0
2015-06-18,80.81999969482422,0.0,0.0,-0.0
2015-06-19,80.54000091552734,0.0,0.0,-0.0
2015-06-22,80.44999694824219,0.0,0.0,-0.0
2015-06-23,79.79000091552734,0.0,0.0,-0.0
2015-06-24,79.51000213623047,0.0,0.0,-0.0
2015-06-25,79.38999938964844,0.0,0.0,-0.0
2015-06-26,79.33999633789062,100.0,100.0,-7933.9996337890625
2015-06-29,78.31999969482422,100.0,0.0,-0.0
2015-06-30,78.23999786376953,100.0,0.0,-0.0
2015-07-01,79.72000122070312,100.0,0.0,-0.0
2015-07-02,79.93000030517578,0.0,-100.0,7993.000030517578
2015-07-06,80.05000305175781,0.0,0.0,-0.0
2015-07-07,81.72000122070312,0.0,0.0,-0.0
2015-07-08,80.98999786376953,0.0,0.0,-0.0
2015-07-09,80.66000366210938,0.0,0.0,-0.0
2015-07-10,80.94999694824219,100.0,100.0,-8094.999694824219
2015-07-13,81.91000366210938,100.0,0.0,-0.0
2015-07-14,82.04000091552734,100.0,0.0,-0.0
2015-07-15,82.1500015258789,100.0,0.0,-0.0
2015-07-16,82.30000305175781,100.0,0.0,-0.0
2015-07-17,82.23999786376953,100.0,0.0,-0.0
2015-07-20,82.19000244140625,100.0,0.0,-0.0
2015-07-21,81.62999725341797,100.0,0.0,-0.0
2015-07-22,80.83000183105469,100.0,0.0,-0.0
2015-07-23,80.69999694824219,100.0,0.0,-0.0
2015-07-24,80.29000091552734,100.0,0.0,-0.0
2015-07-27,79.97000122070312,100.0,0.0,-0.0
2015-07-28,80.2300033569336,100.0,0.0,-0.0
2015-07-29,80.62000274658203,100.0,0.0,-0.0
2015-07-30,77.38999938964844,100.0,0.0,-0.0
2015-07-31,76.69999694824219,0.0,-100.0,7669.999694824219
2015-08-03,76.4000015258789,0.0,0.0,-0.0
2015-08-04,75.91000366210938,0.0,0.0,-0.0
2015-08-05,75.7699966430664,0.0,0.0,-0.0
2015-08-06,75.73999786376953,0.0,0.0,-0.0
2015-08-07,75.4800033569336,0.0,0.0,-0.0
2015-08-10,76.37999725341797,0.0,0.0,-0.0
2015-08-11,76.22000122070312,0.0,0.0,-0.0
2015-08-12,76.38999938964844,0.0,0.0,-0.0
2015-08-13,75.77999877929688,0.0,0.0,-0.0
2015-08-14,75.62000274658203,0.0,0.0,-0.0
2015-08-17,75.52999877929688,0.0,0.0,-0.0
2015-08-18,75.12999725341797,0.0,0.0,-0.0
2015-08-19,74.12000274658203,0.0,0.0,-0.0
2015-08-20,73.91000366210938,0.0,0.0,-0.0
2015-08-21,71.83999633789062,0.0,0.0,-0.0
2015-08-24,69.13999938964844,0.0,0.0,-0.0
2015-08-25,68.41999816894531,0.0,0.0,-0.0
2015-08-26,70.9000015258789,0.0,0.0,-0.0
2015-08-27,71.4800033569336,0.0,0.0,-0.0
2015-08-28,71.20999908447266,0.0,0.0,-0.0
2015-08-31,70.66999816894531,0.0,0.0,-0.0
2015-09-01,68.9000015258789,0.0,0.0,-0.0
2015-09-02,69.80999755859375,0.0,0.0,-0.0
2015-09-03,69.93000030517578,0.0,0.0,-0.0
2015-09-04,68.76000213623047,0.0,0.0,-0.0
2015-09-08,69.9800033569336,0.0,0.0,-0.0
2015-09-09,68.4800033569336,0.0,0.0,-0.0
2015-09-10,68.31999969482422,0.0,0.0,-0.0
2015-09-11,68.41999816894531,0.0,0.0,-0.0
2015-09-14,68.05999755859375,0.0,0.0,-0.0
2015-09-15,69.44999694824219,0.0,0.0,-0.0
2015-09-16,70.0999984741211,0.0,0.0,-0.0
2015-09-17,70.23999786376953,0.0,0.0,-0.0
2015-09-18,69.94000244140625,0.0,0.0,-0.0
2015-09-21,70.6500015258789,0.0,0.0,-0.0
2015-09-22,70.19000244140625,0.0,0.0,-0.0
2015-09-23,70.26000213623047,0.0,0.0,-0.0
2015-09-24,71.36000061035156,0.0,0.0,-0.0
2015-09-25,72.66999816894531,0.0,0.0,-0.0
2015-09-28,71.7699966430664,0.0,0.0,-0.0
2015-09-29,72.27999877929688,0.0,0.0,-0.0
2015-09-30,71.94000244140625,0.0,0.0,-0.0
2015-10-01,71.94999694824219,0.0,0.0,-0.0
2015-10-02,72.41999816894531,0.0,0.0,-0.0
2015-10-05,73.22000122070312,100.0,100.0,-7322.0001220703125
2015-10-06,73.4000015258789,100.0,0.0,-0.0
2015-10-07,73.72000122070312,100.0,0.0,-0.0
2015-10-08,74.4000015258789,100.0,0.0,-0.0
2015-10-09,74.4800033569336,100.0,0.0,-0.0
2015-10-12,74.33000183105469,100.0,0.0,-0.0
2015-10-13,74.11000061035156,100.0,0.0,-0.0
2015-10-14,74.20999908447266,100.0,0.0,-0.0
2015-10-15,74.2699966430664,100.0,0.0,-0.0
2015-10-16,74.9000015258789,100.0,0.0,-0.0
2015-10-19,75.16000366210938,100.0,0.0,-0.0
2015-10-20,74.43000030517578,100.0,0.0,-0.0
2015-10-21,73.58999633789062,100.0,0.0,-0.0
2015-10-22,74.8499984741211,100.0,0.0,-0.0
2015-10-23,77.02999877929688,100.0,0.0,-0.0
2015-10-26,77.48999786376953,100.0,0.0,-0.0
2015-10-27,77.29000091552734,100.0,0.0,-0.0
2015-10-28,76.51000213623047,100.0,0.0,-0.0
2015-10-29,77.0199966430664,100.0,0.0,-0.0
2015-10-30,76.37999725341797,100.0,0.0,-0.0
2015-11-02,76.5999984741211,100.0,0.0,-0.0
2015-11-03,77.05000305175781,100.0,0.0,-0.0
2015-11-04,77.05999755859375,100.0,0.0,-0.0
2015-11-05,76.38999938964844,100.0,0.0,-0.0
2015-11-06,75.56999969482422,100.0,0.0,-0.0
2015-11-09,75.4000015258789,100.0,0.0,-0.0
2015-11-10,75.7699966430664,100.0,0.0,-0.0
2015-11-11,75.95999908447266,100.0,0.0,-0.0
2015-11-12,74.66000366210938,100.0,0.0,-0.0
2015-11-13,73.95999908447266,100.0,0.0,-0.0
2015-11-16,75.30000305175781,100.0,0.0,-0.0
2015-11-17,75.06999969482422,100.0,0.0,-0.0
2015-11-18,75.9000015258789,100.0,0.0,-0.0
2015-11-19,76.22000122070312,100.0,0.0,-0.0
2015-11-20,75.81999969482422,100.0,0.0,-0.0
2015-11-23,75.97000122070312,100.0,0.0,-0.0
2015-11-24,76.44999694824219,100.0,0.0,-0.0
2015-11-25,75.9000015258789,100.0,0.0,-0.0
2015-11-27,75.69999694824219,100.0,0.0,-0.0
2015-11-30,74.83999633789062,100.0,0.0,-0.0
2015-12-01,75.94000244140625,100.0,0.0,-0.0
2015-12-02,75.79000091552734,100.0,0.0,-0.0
2015-12-03,75.73999786376953,100.0,0.0,-0.0
2015-12-04,77.83000183105469,100.0,0.0,-0.0
2015-12-07,78.37000274658203,100.0,0.0,-0.0
2015-12-08,77.75,100.0,0.0,-0.0
2015-12-09,77.69999694824219,100.0,0.0,-0.0
2015-12-10,77.79000091552734,100.0,0.0,-0.0
2015-12-11,77.77999877929688,100.0,0.0,-0.0
2015-12-14,78.29000091552734,100.0,0.0,-0.0
2015-12-15,79.68000030517578,100.0,0.0,-0.0
2015-12-16,80.98999786376953,100.0,0.0,-0.0
2015-12-17,80.29000091552734,100.0,0.0,-0.0
2015-12-18,78.12999725341797,100.0,0.0,-0.0
2015-12-21,78.94999694824219,100.0,0.0,-0.0
2015-12-22,79.5999984741211,100.0,0.0,-0.0
2015-12-23,79.91999816894531,100.0,0.0,-0.0
2015-12-24,79.79000091552734,100.0,0.0,-0.0
2015-12-28,79.91999816894531,100.0,0.0,-0.0
2015-12-29,80.36000061035156,100.0,0.0,-0.0
2015-12-30,80.06999969482422,100.0,0.0,-0.0
2015-12-31,79.41000366210938,100.0,0.0,7941.0003662109375
